,name,link,affiliations,email,cited_by
21,Mohamad Atho Mudzhar,https://scholar.google.com/citations?hl=en&user=7Z5RozEAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,2884
22,Abdul Halim,https://scholar.google.com/citations?hl=en&user=hAWewbIAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,2707
23,Jejen Musfah,https://scholar.google.com/citations?hl=en&user=5A3xN80AAAAJ,"Doktor Manajemen Pendidikan, Islamic State University",Verified email at uinjkt.ac.id,2695
24,Badri Yatim,https://scholar.google.com/citations?hl=en&user=5ixHs7AAAAAJ,Professor of Islamic history and culture,Verified email at uinjkt.ac.id,2443
25,"Nur Rohim Yunus (http://orcid.org/0000-0003-2782-1266, SCOPUS ID: 57216167775)",https://scholar.google.com/citations?hl=en&user=kDZaCCIAAAAJ,Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,2417
26,Prof. Dr. Ahmad Rodoni,https://scholar.google.com/citations?hl=en&user=FO8QwwEAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,2413
27,Etikonomi,https://scholar.google.com/citations?hl=en&user=JiYrSt8AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,2360
28,Rizqon Halal Syah Aji. ID-Scopus. 57215927590.(https://orcid.org/0000-0001-5230-8603),https://scholar.google.com/citations?hl=en&user=gBfpjFMAAAAJ,"Ekonomi Pembangunan, Fakultas Ekonomi dan Bisnis UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,2229
29,EDUSAINS,https://scholar.google.com/citations?hl=en&user=PALxOyIAAAAJ,Fakultas Ilmu Tarbiyah dan Keguruan-Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,2173
30,Arskal Salim,https://scholar.google.com/citations?hl=en&user=z5BGuxkAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,2007
31,Euis Amalia,https://scholar.google.com/citations?hl=en&user=KiRWIxcAAAAJ,Departement of Islamic Banking,Verified email at uinjkt.ac.id,1961
32,Dr.Diana Mutiah M.Si,https://scholar.google.com/citations?hl=en&user=mZUBZgQAAAAJ,UIN SYARIF HIDAYATULLAH JAKARTA,Verified email at uinjkt.ac.id,1904
33,Flori R. Sari,https://scholar.google.com/citations?hl=en&user=1JXAvvwAAAAJ,State Islamic University (UIN) Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1717
34,Burhanuddin Muhtadi,https://scholar.google.com/citations?hl=en&user=6lIR9E4AAAAJ,"Department of Political Science, Syarif Hidayatullah State Islamic University",Verified email at uinjkt.ac.id,1654
35,Jajat Burhanudin,https://scholar.google.com/citations?hl=en&user=l1yUeyYAAAAJ,Syarif Hidayatullah State Islamic University of Jakarta,Verified email at uinjkt.ac.id,1481
36,Herni Ali Husin Thalib,https://scholar.google.com/citations?hl=en&user=MsV2trkAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1447
37,Oman Fathurahman,https://scholar.google.com/citations?hl=en&user=LgDj_I8AAAAJ,"Center for the Study of Islam and Society (PPIM), Syarif Hidayatullah State Islamic University",Verified email at uinjkt.ac.id,1409
38,Masykur Hakim,https://scholar.google.com/citations?hl=en&user=_UGhAGQAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1375
39,Arif Sumantri,https://scholar.google.com/citations?hl=en&user=GTIWd5sAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1309
40,A'ang Subiyakto,https://scholar.google.com/citations?hl=en&user=S_8Nz2sAAAAJ,"Department of Information Systems, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,1284
41,Prof. Dr. Husni Rahim,https://scholar.google.com/citations?hl=en&user=7IJwEZoAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1275
42,Abdul Majid Khon,https://scholar.google.com/citations?hl=en&user=vOA94CsAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1256
43,Wahidin Saputra,https://scholar.google.com/citations?hl=en&user=1mclb0UAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1184
44,muhamad nadratuzzaman hosen,https://scholar.google.com/citations?hl=en&user=kdZEdbAAAAAJ,"Lecturer at State Islamic University of Syarif Hidayatullah JakartaJakarta, Indonesia",Verified email at uinjkt.ac.id,1114
45,Ismatu Ropi,https://scholar.google.com/citations?hl=en&user=JaR8YccAAAAJ,Syarif Hidayatullah State Islamic University (UIN Syarif Hidayatullah) Jakarta; PPIM UIN …,Verified email at uinjkt.ac.id,1068
46,Amsal Bakhtiar,https://scholar.google.com/citations?hl=en&user=ik-cp2QAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,1066
47,Yuni Sugiarti,https://scholar.google.com/citations?hl=en&user=3upoKAIAAAAJ,Lecturer Faculty of Science Technology Syarif Hidayatullah State Islamic University Jakarta,Verified email at uinjkt.ac.id,1029
48,Nuruddin Muhammad Ali,https://scholar.google.com/citations?hl=en&user=1sJw2lQAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at mhs.uinjkt.ac.id,995
49,"Prof. Dr. Abdul Hamid, MS",https://scholar.google.com/citations?hl=en&user=cLtIdKwAAAAJ,Faculty of Economics and Business State Islamic University Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,976
50,Arief Subhan,https://scholar.google.com/citations?hl=en&user=GU_MklUAAAAJ,Lecture of UIN (Universitas Islam Negeri) Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,958
51,M. Nurul Irfan,https://scholar.google.com/citations?hl=en&user=a8YLO20AAAAJ,UIN Jakarta,Verified email at uinjkt.ac.id,944
52,"Ahmad Mukri Aji (http://orcid.org/0000-0002-9802-5630, Scopus ID: 57216168294)",https://scholar.google.com/citations?hl=en&user=d-73-sUAAAAJ,"Professor of Islamic Law (FIQH), Universitas Islam Negeri Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,942
53,Amelia Fauzia,https://scholar.google.com/citations?hl=en&user=CEYFfTwAAAAJ,Syarif Hidayatullah State Islamic University Jakarta,Verified email at uinjkt.ac.id,918
54,Khamami Zada (orcid.org/0000-0002-1799-9979),https://scholar.google.com/citations?hl=en&user=D3gPlwUAAAAJ,Dosen Fakultas Syariah dan Hukum UIN Jakarta,Verified email at uinjkt.ac.id,895
55,Jamhari,https://scholar.google.com/citations?hl=en&user=wmvYnT8AAAAJ,UIN Syarif Hidayatullah,Verified email at uinjkt.ac.id,866
56,Burhanuddin Yusuf,https://scholar.google.com/citations?hl=en&user=R7fKbQcAAAAJ,FEB UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,857
57,"Prof. Dr. M. Amin Nurdin, MA.",https://scholar.google.com/citations?hl=en&user=z9aYCL4AAAAJ,Syarif Hidayatullah State Islamic University of Jakarta,Verified email at uinjkt.ac.id,850
58,Bahrul Hayat,https://scholar.google.com/citations?hl=en&user=TXDUyOkAAAAJ,Syarif Hidayatullah State Islamic University Jakarta,Verified email at uinjkt.ac.id,846
